Time,People,Sound,Reaction,
9:17,2,79.4,Vigilance,
9:17,2,58.5,None,
9:18,1,43.3,None,
9:25,1,45.2,None,
9:33,1,50.9,None,
9:39,2,65.9,Avoidance,
9:42,2,61.2,Avoidance,
9:46,2,64.6,Vigilance,
9:47,3,60.2,Avoidance,
9:48,7,83.5,Avoidance,Childen shouting
9:51,1,55.7,None,
9:53,3,80,Vigilance,
9:53,4,83,Defensive,
9:54,5,84.6,Avoidance,
10:02,3,73,Avoidance,
10:03,2,55.3,None,
10:07,3,74,Vigilance,
10:12,2,59.2,None,
10:14,3,81.6,None,Old people
10:17,4,74.8,None,Old people
10:18,1,51,None,
10:19,2,63.7,None,
10:32,1,62.8,None,
10:35,2,64.8,None,
10:39,2,54.7,Avoidance,
10:39,2,57.4,Vigilance,
10:39,2,70.8,Defensive,
10:42,2,73.9,Avoidance,
10:44,2,70.7,Vigilance,
10:46,,80.8,Defensive,students field trip
10:47,5,75.4,Avoidance,
10:50,3,86.5,Defensive,
10:50,2,55.6,Defensive,
10:58,8,73.2,Avoidance,
10:59,2,63.1,Avoidance,
11:01,3,72.5,Avoidance,
11:02,2,71.3,Avoidance,
11:04,2,70,None,
11:05,2,70,None,
11:15,5,80.3,Avoidance,
11:16,7,78.3,Avoidance,11:16-11:27 Den
11:27,4,69.5,None,Snack time
11:29,3,71.6,None,11:32-12:00 Den
